,index,time,value,value_list,status,rep,protocol,number,decimal
812,1260,1705345140902089200,send_rep_9_p_6_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '6', 's', '01000001011001000110000101101101']",send,9,6,01000001011001000110000101101101,
813,1261,1705345141022391200,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '6']",rec,9,6,01000001011001000110000101101101,1097097581
814,1262,1705345141132498400,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '6']",rec,9,6,01000001011001000110000101101101,1097097581
815,1263,1705345141242793100,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '6']",rec,9,6,01000001011001000110000101101101,1097097581
816,1264,1705345141354097800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_6,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '6']",rec,9,6,01000001011001000110000101101101,1097097581
817,1265,1705345141869486600,send_rep_9_p_6_s_100,"['send', 'rep', '9', 'p', '6', 's', '100']",send,9,6,100,
818,1266,1705345141931198800,rec_dec_4_bin_100_p_6,"['rec', 'dec', '4', 'bin', '100', 'p', '6']",rec,9,6,100,4
819,1267,1705345141959375900,rec_dec_4_bin_100_p_6,"['rec', 'dec', '4', 'bin', '100', 'p', '6']",rec,9,6,100,4
820,1268,1705345141988605300,rec_dec_4_bin_100_p_6,"['rec', 'dec', '4', 'bin', '100', 'p', '6']",rec,9,6,100,4
821,1269,1705345142504003200,send_rep_9_p_6_s_111,"['send', 'rep', '9', 'p', '6', 's', '111']",send,9,6,111,
822,1270,1705345143158871900,send_rep_9_p_7_s_00100101100010010110,"['send', 'rep', '9', 'p', '7', 's', '00100101100010010110']",send,9,7,00100101100010010110,
823,1271,1705345143226087700,rec_dec_153750_bin_00100101100010010110_p_1,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '1']",rec,9,1,00100101100010010110,153750
824,1272,1705345143291748600,rec_dec_153750_bin_00100101100010010110_p_7,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '7']",rec,9,7,00100101100010010110,153750
825,1273,1705345143352524700,rec_dec_153750_bin_00100101100010010110_p_7,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '7']",rec,9,7,00100101100010010110,153750
826,1274,1705345143414436200,rec_dec_153750_bin_00100101100010010110_p_7,"['rec', 'dec', '153750', 'bin', '00100101100010010110', 'p', '7']",rec,9,7,00100101100010010110,153750
827,1275,1705345143949921000,send_rep_9_p_7_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '7', 's', '01000001011001000110000101101101']",send,9,7,01000001011001000110000101101101,
828,1276,1705345144052914900,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '7']",rec,9,7,01000001011001000110000101101101,1097097581
829,1277,1705345144139366800,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '7']",rec,9,7,01000001011001000110000101101101,1097097581
830,1278,1705345144229441200,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '7']",rec,9,7,01000001011001000110000101101101,1097097581
831,1279,1705345144315620500,rec_dec_1097097581_bin_01000001011001000110000101101101_p_7,"['rec', 'dec', '1097097581', 'bin', '01000001011001000110000101101101', 'p', '7']",rec,9,7,01000001011001000110000101101101,1097097581
832,1280,1705345144817870300,send_rep_9_p_7_s_100,"['send', 'rep', '9', 'p', '7', 's', '100']",send,9,7,100,
833,1281,1705345145437250500,send_rep_9_p_7_s_111,"['send', 'rep', '9', 'p', '7', 's', '111']",send,9,7,111,
834,1282,1705345145491262000,rec_dec_7_bin_111_p_1,"['rec', 'dec', '7', 'bin', '111', 'p', '1']",rec,9,1,111,7
835,1283,1705345145516134800,rec_dec_7_bin_111_p_1,"['rec', 'dec', '7', 'bin', '111', 'p', '1']",rec,9,1,111,7
836,1284,1705345145539999500,rec_dec_7_bin_111_p_1,"['rec', 'dec', '7', 'bin', '111', 'p', '1']",rec,9,1,111,7
837,1285,1705345146071494000,send_rep_9_p_8_s_00100101100010010110,"['send', 'rep', '9', 'p', '8', 's', '00100101100010010110']",send,9,8,00100101100010010110,
838,1286,1705345147456433300,send_rep_9_p_8_s_01000001011001000110000101101101,"['send', 'rep', '9', 'p', '8', 's', '01000001011001000110000101101101']",send,9,8,01000001011001000110000101101101,
